File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,Frame,X,Y,left,right,top,bottom,ROI_coordinates,ROI_location,ROI_transition,Distance_px,Distance_cm
LocationTracking_Clip.mp4,99.5,True,0.9,100.0,0.0,0,614.9851680336253,453.8454267328758,False,False,False,True,"{'xs': [[311.0555487738715, 586.611104329427, 589.9444376627604, 309.94443766276044], [647.7222154405381, 917.7222154405381, 918.8333265516492, 647.7222154405381], [592.1666598849826, 586.611104329427, 647.7222154405381, 646.611104329427], [589.9444376627604, 593.2777709960936, 647.7222154405381, 647.7222154405381]], 'ys': [[343.4285714285714, 344.5974025974026, 391.35064935064935, 392.5194805194805], [344.5974025974026, 342.2597402597402, 393.68831168831167, 393.68831168831167], [25.506493506493474, 344.5974025974026, 344.5974025974026, 24.337662337662305], [391.35064935064935, 713.9480519480519, 712.7792207792207, 393.68831168831167]]}",bottom,False,0.0,0.0
LocationTracking_Clip.mp4,99.5,True,0.9,100.0,0.0,1,616.2875447841418,457.14816655653016,False,False,False,True,"{'xs': [[311.0555487738715, 586.611104329427, 589.9444376627604, 309.94443766276044], [647.7222154405381, 917.7222154405381, 918.8333265516492, 647.7222154405381], [592.1666598849826, 586.611104329427, 647.7222154405381, 646.611104329427], [589.9444376627604, 593.2777709960936, 647.7222154405381, 647.7222154405381]], 'ys': [[343.4285714285714, 344.5974025974026, 391.35064935064935, 392.5194805194805], [344.5974025974026, 342.2597402597402, 393.68831168831167, 393.68831168831167], [25.506493506493474, 344.5974025974026, 344.5974025974026, 24.337662337662305], [391.35064935064935, 713.9480519480519, 712.7792207792207, 393.68831168831167]]}",bottom,False,3.5502500676766764,0.5852018750981464
LocationTracking_Clip.mp4,99.5,True,0.9,100.0,0.0,2,615.4190124148231,458.6651507514235,False,False,False,True,"{'xs': [[311.0555487738715, 586.611104329427, 589.9444376627604, 309.94443766276044], [647.7222154405381, 917.7222154405381, 918.8333265516492, 647.7222154405381], [592.1666598849826, 586.611104329427, 647.7222154405381, 646.611104329427], [589.9444376627604, 593.2777709960936, 647.7222154405381, 647.7222154405381]], 'ys': [[343.4285714285714, 344.5974025974026, 391.35064935064935, 392.5194805194805], [344.5974025974026, 342.2597402597402, 393.68831168831167, 393.68831168831167], [25.506493506493474, 344.5974025974026, 344.5974025974026, 24.337662337662305], [391.35064935064935, 713.9480519480519, 712.7792207792207, 393.68831168831167]]}",bottom,False,1.7480244632471553,0.2881338424363708
LocationTracking_Clip.mp4,99.5,True,0.9,100.0,0.0,3,615.1059008401711,459.7634610405264,False,False,False,True,"{'xs': [[311.0555487738715, 586.611104329427, 589.9444376627604, 309.94443766276044], [647.7222154405381, 917.7222154405381, 918.8333265516492, 647.7222154405381], [592.1666598849826, 586.611104329427, 647.7222154405381, 646.611104329427], [589.9444376627604, 593.2777709960936, 647.7222154405381, 647.7222154405381]], 'ys': [[343.4285714285714, 344.5974025974026, 391.35064935064935, 392.5194805194805], [344.5974025974026, 342.2597402597402, 393.68831168831167, 393.68831168831167], [25.506493506493474, 344.5974025974026, 344.5974025974026, 24.337662337662305], [391.35064935064935, 713.9480519480519, 712.7792207792207, 393.68831168831167]]}",bottom,False,1.1420702033283274,0.1882519855619153
LocationTracking_Clip.mp4,99.5,True,0.9,100.0,0.0,4,615.8163728449261,460.2836923217634,False,False,False,True,"{'xs': [[311.0555487738715, 586.611104329427, 589.9444376627604, 309.94443766276044], [647.7222154405381, 917.7222154405381, 918.8333265516492, 647.7222154405381], [592.1666598849826, 586.611104329427, 647.7222154405381, 646.611104329427], [589.9444376627604, 593.2777709960936, 647.7222154405381, 647.7222154405381]], 'ys': [[343.4285714285714, 344.5974025974026, 391.35064935064935, 392.5194805194805], [344.5974025974026, 342.2597402597402, 393.68831168831167, 393.68831168831167], [25.506493506493474, 344.5974025974026, 344.5974025974026, 24.337662337662305], [391.35064935064935, 713.9480519480519, 712.7792207792207, 393.68831168831167]]}",bottom,False,0.8805742759802458,0.14514856915531577
LocationTracking_Clip.mp4,99.5,True,0.9,100.0,0.0,5,615.1263116181647,460.4429731232746,False,False,False,True,"{'xs': [[311.0555487738715, 586.611104329427, 589.9444376627604, 309.94443766276044], [647.7222154405381, 917.7222154405381, 918.8333265516492, 647.7222154405381], [592.1666598849826, 586.611104329427, 647.7222154405381, 646.611104329427], [589.9444376627604, 593.2777709960936, 647.7222154405381, 647.7222154405381]], 'ys': [[343.4285714285714, 344.5974025974026, 391.35064935064935, 392.5194805194805], [344.5974025974026, 342.2597402597402, 393.68831168831167, 393.68831168831167], [25.506493506493474, 344.5974025974026, 344.5974025974026, 24.337662337662305], [391.35064935064935, 713.9480519480519, 712.7792207792207, 393.68831168831167]]}",bottom,False,0.7082053871650669,0.11673631789966336
LocationTracking_Clip.mp4,99.5,True,0.9,100.0,0.0,6,614.4737382773773,461.26094275792457,False,False,False,True,"{'xs': [[311.0555487738715, 586.611104329427, 589.9444376627604, 309.94443766276044], [647.7222154405381, 917.7222154405381, 918.8333265516492, 647.7222154405381], [592.1666598849826, 586.611104329427, 647.7222154405381, 646.611104329427], [589.9444376627604, 593.2777709960936, 647.7222154405381, 647.7222154405381]], 'ys': [[343.4285714285714, 344.5974025974026, 391.35064935064935, 392.5194805194805], [344.5974025974026, 342.2597402597402, 393.68831168831167, 393.68831168831167], [25.506493506493474, 344.5974025974026, 344.5974025974026, 24.337662337662305], [391.35064935064935, 713.9480519480519, 712.7792207792207, 393.68831168831167]]}",bottom,False,1.0463872554249731,0.1724801837280788
LocationTracking_Clip.mp4,99.5,True,0.9,100.0,0.0,7,613.8608703775565,461.10360884749707,False,False,False,True,"{'xs': [[311.0555487738715, 586.611104329427, 589.9444376627604, 309.94443766276044], [647.7222154405381, 917.7222154405381, 918.8333265516492, 647.7222154405381], [592.1666598849826, 586.611104329427, 647.7222154405381, 646.611104329427], [589.9444376627604, 593.2777709960936, 647.7222154405381, 647.7222154405381]], 'ys': [[343.4285714285714, 344.5974025974026, 391.35064935064935, 392.5194805194805], [344.5974025974026, 342.2597402597402, 393.68831168831167, 393.68831168831167], [25.506493506493474, 344.5974025974026, 344.5974025974026, 24.337662337662305], [391.35064935064935, 713.9480519480519, 712.7792207792207, 393.68831168831167]]}",bottom,False,0.6327408806147775,0.10429720237406723
LocationTracking_Clip.mp4,99.5,True,0.9,100.0,0.0,8,615.3051965789731,461.77917628695,False,False,False,True,"{'xs': [[311.0555487738715, 586.611104329427, 589.9444376627604, 309.94443766276044], [647.7222154405381, 917.7222154405381, 918.8333265516492, 647.7222154405381], [592.1666598849826, 586.611104329427, 647.7222154405381, 646.611104329427], [589.9444376627604, 593.2777709960936, 647.7222154405381, 647.7222154405381]], 'ys': [[343.4285714285714, 344.5974025974026, 391.35064935064935, 392.5194805194805], [344.5974025974026, 342.2597402597402, 393.68831168831167, 393.68831168831167], [25.506493506493474, 344.5974025974026, 344.5974025974026, 24.337662337662305], [391.35064935064935, 713.9480519480519, 712.7792207792207, 393.68831168831167]]}",bottom,False,1.5945123208516145,0.2628298238833922
LocationTracking_Clip.mp4,99.5,True,0.9,100.0,0.0,9,613.5119583836708,463.57576948736903,False,False,False,True,"{'xs': [[311.0555487738715, 586.611104329427, 589.9444376627604, 309.94443766276044], [647.7222154405381, 917.7222154405381, 918.8333265516492, 647.7222154405381], [592.1666598849826, 586.611104329427, 647.7222154405381, 646.611104329427], [589.9444376627604, 593.2777709960936, 647.7222154405381, 647.7222154405381]], 'ys': [[343.4285714285714, 344.5974025974026, 391.35064935064935, 392.5194805194805], [344.5974025974026, 342.2597402597402, 393.68831168831167, 393.68831168831167], [25.506493506493474, 344.5974025974026, 344.5974025974026, 24.337662337662305], [391.35064935064935, 713.9480519480519, 712.7792207792207, 393.68831168831167]]}",bottom,False,2.53839523181137,0.418413807782368
